year,month,day,country,state,city,hour,minute,operator,flight,actype,registration,cn_ln,ground,summary,route,totalAboard,passengerAboard,crewAboard,totalFatality,passengerFatality,crewFatality
1920,6,6,United States of America,Ohio,Cleveland,0,0,US Aerial Mail Service,?,De Havilland DH-4,204,?,0,The aircraft suffered engine failure and crashed shortly after taking off.,,1,0,1,1,0,1
1920,7,20,Colombia,?,Cartagena,0,0,Compa梨_a Colombiana de Navegaci泥_ A梨_ea,?,Farman F-40,?,?,0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.,,1,1,1,1,1,1
1920,8,16,United Kingdom,?,Bedford,0,0,By Air,?,Armstrong-Whitworth F-K-8,G-EALW,?,0,The plane crashed during a cargo flight under unknown circumstances.,,1,0,1,1,0,1
1920,8,16,United States of America,Maryland,College Park,0,0,US Aerial Mail Service,?,De Havilland DH-4,317,?,0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.",,1,0,1,1,0,1
1920,9,1,United States of America,New Jersey,Morristown,0,0,US Aerial Mail Service,?,Junkers JL-6,305,?,0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire.",,2,0,2,2,0,2
1920,9,15,United States of America,Ohio,Pemberville,0,0,US Aerial Mail Service,?,Junkers F-13,308,?,0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.,,2,0,0,2,0,0
1920,9,27,United States of America,Pennsylvania,Hillersburg,0,0,US Aerial Mail Service,?,De Havilland DH-4,316,?,0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.,,1,0,1,1,0,1
1920,10,2,France,?,Port Vendres,0,0,Latecoere Airlines,?,Salmson 2-A-2,F-ALAI,31,0,Crashed into the Mediterranean while on a mail flight.,,2,1,1,2,1,1
1920,10,5,Spain,?,Valencia,0,0,Latecoere Airlines,?,Breguet 14,F-ALTA,20,0,While on a mail flight the plane crashed while attempting to land.,,2,1,1,2,1,1
1920,10,15,United States of America,Illinois,Batavia,0,0,US Aerial Mail Service,?,De Havilland DH-4,76,?,0,While attempting to land in fog the aircraft hit an obstruction and crashed.,,1,0,1,1,0,1
1920,11,7,United States of America,Wyoming,Tie Siding,0,0,US Aerial Mail Service,?,De Havilland DH-4,?,178,0,The aircraft crashed into a mountain in poor weather condtions.,,1,0,1,1,0,1
1920,12,14,United Kingdom,?,London,12,15,Handley Page Transport,?,Handley Page HP-16,G-EAMA,HP-25,0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,"London,Paris",8,6,2,4,2,2
1920,12,24,Spain,?,Barcelona,0,0,Aeropostale,?,Breguet 14,F-ALBO,57,0,The aircraft stalled and crashed when an engine failed.,,1,0,1,1,0,1
1921,2,3,United States of America,Minnesota,Mendota,0,0,US Aerial Mail Service,?,De Havilland DH-4,130,?,0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.,,1,0,1,1,0,1
1921,2,9,United States of America,Wisconsin,La Crosse,0,0,US Aerial Mail Service,?,Junkers F-13,301,?,0,Crashed for unknown reasons. Both pilots and the mechanic were killed.,,3,0,3,3,0,3
1921,2,22,United States of America,Nevada,Elko,0,0,US Aerial Mail Service,?,De Havilland DH-4,67,?,0,"Shortly after taking off, the aircraft stalled and crashed .",,1,0,1,1,0,1
1921,4,6,Australia,Victoria,Point Cook,0,0,Military - Royal Australian Air Force,?,Avro 504,H3021,?,0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames.",,2,0,0,2,0,0
1921,4,21,United States of America,New York,Mitchel Field,0,0,US Aerial Mail Service,?,De Havilland DH-4,160,?,0,After taking off the aircraft stalled and crashed.,,1,0,1,1,0,1
1921,4,29,United States of America,Ohio,Cleveland,0,0,US Aerial Mail Service,?,De Havilland DH-4,196,?,0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.",,1,0,1,1,0,1
1921,5,17,United States of America,Wyoming,Rock Springs,0,0,US Aerial Mail Service,?,"De Havilland DH-4
De Havilland DH-4",176,?,0,Crashed while attempting to land.,,1,0,1,1,0,1
1921,8,14,France,?,Toulouse,0,0,Aeropostale,?,Breguet 14,F-ALBI,?,0,?,,2,0,0,2,0,0
1921,8,24,United Kingdom,?,?,17,40,Military - Royal Airship Works,?,Royal Airship Works ZR-2 (airship),R-38,R-38,1,"Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design. This was a test flight before being handed over to the navy. Thirty-two British and 17 Americans were on board, and the survivors were 5 British and 1 American.  The fatalities included the designer, Charles Campbell, who had copied a captured German design intended for high-altitude flight, therefore the skeleton was a bit weaker than some.  The pilot overstressed it by attempting a turn at 62 mph at low altitude.",,49,0,49,43,0,43
1921,9,6,France,?,Paris,0,0,Franco-Roumaine,?,Potez IX,F-ADCD,160,0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.,"Warsaw,Prague,Strasbourg,Paris",5,4,1,5,4,1
1921,12,5,Australia,?,?,0,0,West Australian Airways,?,Bristol 28 Tourer,G-AUDI,6116,0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.,"Geraldton,Derby",2,0,2,2,0,2
1922,1,14,France,?,Paris,0,0,Handley Page Transport,?,Handley Page O/10,G-EATN,HP-43,5,Crashed at Le Bourget field.,,5,4,1,5,4,1
1922,2,21,United States of America,Virginia,Norfolk,0,0,Military - U.S. Army Air Service,?,Dirigible Roma (airship),?,?,0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,,45,0,0,34,0,0
1922,4,7,France,?,Grandvilliers,13,15,Daimler Airways / Grands Express Aeriens,?,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.","Croydon,Le Bourget",7,5,2,7,5,2
1922,4,8,China,?,Pao Ting Fou,0,0,?,?,?,?,?,0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.,,17,0,17,17,0,17
1922,6,3,United Kingdom,Kent,Folkestone,0,0,Cie des Messageries Aeriennes,?,Bleriot Spad 27,F-ACMH,555,0,Went down into the English Channel while en route.,"Croydon,Paris",3,2,1,3,2,1
1922,7,4,Germany,?,Fuhlsbuttel,0,0,?,?,LVG C VI,?,?,0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron).","Hamburg,Berlin",3,2,1,2,1,1
1922,7,16,France,Lorraine,Saverne,16,45,Compagnie Franco-Roumaine de Navigaation Aerienne,?,Potez 29,F-FREI,25,0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.,"Strasbourg,Paris",5,4,1,5,4,1
1922,7,26,Spain,?,Cadix,0,0,Grands Express Aeriens,?,Breguet 14,F-ALVE,117,0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed.",,3,2,1,3,2,1
1922,9,7,United States of America,Indiana,Indianapolis,0,0,US Aerial Mail Service,?,De Havilland DH-4,227,?,0,The plane stalled shortly after takeoff and crashed.,,1,0,1,1,0,1
1922,10,2,Italy,?,Venice,0,0,de Havilland Air Service,?,de Havilland DH-9,G-EAYT,14,0,Shortly after taking off the plane crashed into the sea and sank.,"Venice,London",4,3,1,4,3,1
1922,10,25,Morocco,?,Larache,0,0,Grands Express Aeriens,?,Breguet 14,?,?,0,Crashed under unknown circumstances.,,2,1,1,2,1,1
1922,12,3,Morocco,?,Fez,0,0,Grands Express Aeriens,?,Breguet 14,F-ALNA,14,0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.,"Toulouse,Barcelona,Valencia,Alicante,Malaga,Rabat",1,0,1,1,0,1
1923,1,10,France,?,Ajaccio,0,0,Amee de l'Air,?,Lior梨-et-Olivier H-13,F-AEIB,4,0,The plane crashed mid-air due to a structural failure of the tail.,,4,2,2,3,1,2
1923,1,17,Spain,?,Barcelona,0,0,Grands Express Aeriens,?,Breguet 14,F-ALJU,6083-130,0,Crashed into a mountain during a snowstorm.,,1,0,1,1,0,1
1923,1,18,United States of America,Wyoming,Cheyenne,0,0,US Aerial Mail Service,?,De Havilland DH-4,223,?,0,Crashed during a mail flight.,,1,0,1,1,0,1
1923,2,26,United States of America,Pennsylvania,Meadville,0,0,US Aerial Mail Service,?,De Havilland DH-4,291,?,0,The pilot lost control of the aircraft  while on approach in poor weather conditions.,,1,0,1,1,0,1
1923,5,14,France,Picardie,Amiens,13,42,Grands Express Aeriens (Air Union),?,Farman F-60 Goliath,F-AEBY,15,0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.","Paris,London",6,4,2,6,4,2
1923,8,27,United Kingdom,?,East Malling,17,30,Air Union,?,Farman F.60 Goliath,F-AECB,4,0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed.","Paris,Berck,sur,Mer,Croydon",11,9,2,1,1,0
1923,8,27,Romania,?,Bucharest,0,0,Campagnie France Roumaine,?,Bl梨_iot Spad 46,F-AEGN,28,0,Crashed while on approach to Bucharesst.,,2,1,1,2,1,1
1923,9,7,United States of America,Ohio,Colton,0,0,US Aerial Mail Service,?,De Havilland DH-4,283,?,0,Crashed during an emergency landing attempt.,,1,0,1,1,0,1
1923,9,14,United Kingdom,Buckinghamshire,Ivinghoe,18,0,Daimler Airways,?,de Havilland DH-34,G-EBBS,29,0,Crashed while attempting a forced landing after encountering heavy rain.,"Croydon,Manchester",5,3,2,5,3,2
1923,11,18,Russia,?,?,0,0,CCCP,?,Junkers F-13,D-257,?,0,Crashed during a training flight.,,5,2,3,3,1,2
1923,12,6,United States of America,Ohio,Castalia,0,0,US Aerial Mail Service,?,De Havilland DH-4,318,?,0,Crashed under unknown circumstances.,,1,0,1,1,0,1
1923,12,24,United States of America,Wyoming,Egbert,0,0,US Aerial Mail Service,?,De Havilland DH-4,315,?,0,Crashed into a montain in poor weather conditions.,,1,0,1,1,0,1
1924,3,7,United States of America,Pennsylvania,Grampian,0,0,US Aerial Mail Service,?,De Havilland DH-4,327,?,0,Crashed during a snowstorm.,,1,0,1,1,0,1
1924,6,8,Colombia,?,Barranquilla,0,0,SCADTA,?,Junkers F-13,A16,684,0,Stalled after taking off and crashed into houses..,"Barranquilla,Bogota",5,3,2,5,3,2
1924,8,1,United States of America,?,?,0,0,US Aerial Mail Service,?,De Havilland DH-4,297,?,0,"The pliot made a low pass in honor of another pilot who had died, stalled and cashed.",,1,0,1,1,0,1
1924,11,6,France,?,Cabrerolles,0,0,Grands Express Aeriens,?,Breguet 14,F-AFBD,?,0,"While en route the pilot encountered thunderstorms, lost control and crashed.",,1,0,1,1,0,1
1924,12,21,United States of America,Indiana,Goshen,0,0,US Aerial Mail Service,?,De Havilland DH-4,311,?,0,"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed.",,1,0,1,1,0,1
1924,12,24,United Kingdom,?,Purley,12,0,Imperial Airways,?,de Havilland DH-34B,G-EBBX,36,0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing.","London,Paris",8,7,1,8,7,1
1925,3,22,Russia,Georgia,Tiflis,0,0,Zakavia,?,Junkers F-13,R-RECA,590,0,Shortly after take off the plane went out of control and crashed in flames.,"Tiflis,Suchumi",5,3,2,5,3,2
1925,4,25,Spain,?,Alicante,0,0,Grands Express Aeriens,?,Breguet 14,F-AFBB,202,0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed.","Alicante,Barcelona,Toulouse",3,1,2,3,1,2
1925,6,25,France,?,Landr챕cies,0,0,KLM Royal Dutch Airlines,?,Fokker (KLM)  F.III,H-NABM,1502,0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight.","Amsterdam,Paris",4,3,1,4,3,1
1925,6,26,Spain,?,Alicante,0,0,Grands Express Aeriens,?,Lior梨-et-Olivier LeO H-13,F-FREM,?,0,While attempting to land the seaplane hit a lightning mast and crashed.,"Oran,Alicante",2,0,2,2,0,2
1925,7,20,Spain,?,Rosas,0,0,Lignes Aeriennes Latecoere,?,Breguet 14,F-AFBI,209,0,Crashed in unknown circumstance.,"Toulouse,Barcelona",1,0,1,1,0,1
1925,7,24,Hungary,?,Budapest,0,0,CIDNA,?,Potez IX,?,?,0,Crashed while attempting to land 10 km from the airport,,1,0,1,1,0,1
1925,9,3,United States of America,Ohio,Caldwell,5,30,Military - U.S. Navy,?,Dirigible ZR-1 Shenandoah (airship),ZR-1,?,0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart.","Lakehurst, NJ,S.t Louis, MO",43,0,43,14,0,14
1925,9,7,France,?,Toul,0,0,CIDNA,?,Spad 33,?,?,0,?,,0,0,0,0,0,0
1925,10,1,United States of America,Ohio,?,0,0,US Aerial Mail Service,?,De Havilland DH-4,385,?,0,Crashed into a wooded area on Mt. Nittany in fog and low visibility.,"New York,San Francisco",1,0,1,1,0,1
1925,11,14,Mauritania,?,Nouadhibou,0,0,Lignes Aeriennes Latecoere,?,Breguet 14,F-AEGZ,168,0,The pilot suffered sunstroke lost control of the plane and crashed.,,1,0,1,1,0,1
1925,11,14,France,?,Boulogne-sur-Mer,0,0,Air Union,?,Farman F-60 Goliath,F-FHMY,?,0,?,,2,0,0,2,0,0
1926,2,12,United States of America,Ohio,Montpelier,0,0,US Aerial Mail Service,?,Curtiss Carrier Pigeon,602,?,0,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area.",,1,0,1,1,0,1
1926,3,8,Germany,?,Staaken,0,0,Deutche Lufthansa,?,Junkers F-13,"D-290
D-290",665,0,While in a training filight the aircraft stalled and crashed while attempting to land.,,1,0,1,1,0,1
1926,7,3,Czechia,?,Rossaugpt,0,0,Compagnie Internationale de Navigation A梨_ienne,?,Caudron C-61,F-AFBT,5307,0,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.,"Paris,Prague,Budapest",6,4,2,6,4,2
1926,7,9,Belgium,?,Wolvertem,9,30,KLM Royal Dutch Airlines,?,Fokker F7,H-NACC,4759,0,Crashed into the ground while descending in poor weather.,"Amsterdam,Rotterdam,Brussels,Paris",2,1,1,2,1,1
1926,7,24,Germany,?,Juist,0,0,Deutsche Lufthansa,?,Junkers F-13,D-272,660,0,Crashed under weather related.circumstances.,,5,4,1,5,4,1
1926,8,18,United Kingdom,Kent,Hurst,0,0,Air Union,?,Bleriot 155,F-AIEB,2,0,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.,"Lebourget, France,Croydon, England",15,13,2,3,2,1
1926,9,26,United States of America,New York,New York,0,0,?,?,Sikorsky S-25,?,?,0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight.,"New York,Paris",5,4,1,2,2,0
1926,10,2,United Kingdom,Kent,Leigh,15,27,Air Union,?,Bleriot 155,F- AICQ,1,0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed..","Paris,London",7,5,2,7,5,2
1926,10,8,Germany,?,Bueren,0,0,Deutsche Lufthansa,?,Fokker FG III,D-468,1554,0,Weather related.,,4,3,1,4,3,1
1926,11,11,Morocco,?,Cape Bojador,8,0,Grands Express Aeriens,?,Breguet 14,F-AFAX,198,0,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed.","Casablanca,Dakar",3,3,0,3,3,0
1926,12,16,United States of America,Oregon,Medford,0,0,Pacific Air Transport,?,Ryan M-1,2,?,0,The postal plane crashed into a mountain slope in foggy conditions.,,1,0,1,1,0,1
1927,1,12,France,?,Estaires,0,0,Fokker,?,Fokker F-VII,G-EBPL,4938,0,The flight crew encountered poor weather conditions and made an emergency landing. The aircraft landed in a field badly damaged and written off.,,0,0,2,0,0,2
1927,3,20,Morocco,?,Rabat,0,0,Grands Express Aeriens,?,Breguet 14,F-ALRA,?,0,Unknown.,"Casablanca,Oran",1,0,1,1,0,1
1927,3,24,Australia,Queensland,Tambo,0,0,Qantas,?,de Havilland DH-9C,G-AUED,86,0,"While attempting to land, the engine failed, the aircraft stalled and crashed.","Charleville,Tambo,Blackall",3,2,1,3,2,1
1927,4,15,United States of America,Idaho,King Hill,0,0,Varney Air Lines,?,"Swallow
Swallow",?,A28,0,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.,,1,0,1,1,0,1
1927,4,22,Germany,?,Floh,0,0,Deutsche Lufthansa,?,Fokker FG III,D-729,1567,0,Crashed following engine failure.,"Charleville,Tambo,Blackall",2,1,1,2,1,1
1927,4,22,United States of America,Indiana,Goshen,0,0,US Aerial Mail Service,?,Douglas M-4,626,?,0,Crashed into a field during a snow storm.,,1,0,1,1,0,1
1927,5,2,Algeria,?,Algiers,0,0,Air Union,?,SPCA Meteore 63,F-AIFN,?,0,The three engine seaplane stalled and crashed into the sea shortly after taking off.,,3,0,3,1,0,1
1927,7,27,Germany,?,Amoneburg,0,0,Deutsche Lufthansa,?,Junkers F-13,D-206,591,0,Crashed after experiencing engine failure and attempting to make a forced landing.,"Kassel,Frankfurt",5,3,2,5,3,2
1927,8,22,United Kingdom,?,Sevenoaks,8,30,KLM Royal Dutch Airlines,?,Fokker F-VIII,"H-NADU
H-NADU",4993,0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.","Croydon,Schiphol",11,9,2,1,0,1
1927,9,3,United States of America,Connecticut,Willington,0,0,Colonial Air Transport,?,Fokker Universal,"NC52  	
NC52",405,0,The postal plane crashed for unknown reasons.,,1,0,1,1,0,1
1927,9,17,United States of America,New Jersey,Hadley,0,0,Reynolds Airways,?,Fokker F-VII,NC776,4840,0,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.,,12,11,1,7,6,1
1927,9,23,Germany,?,Schleiz,10,0,Deutsche Lufthansa,?,Dornier Merkur,D-585,75,0,From an altitude of 500 ft. the plane went out of control and crashed  due to a broken wing strut.,"Berlin,Munich",6,4,2,6,4,2
1927,10,6,Mauritania,?,Thies,0,0,Lignes Aeriennes Latecoere,?,Breguet 14,F-AGBN,229,0,The plane crashed while attempting to land at Dakar.,"Saint Louis,Dakar",2,0,2,2,0,2
1927,10,30,United States of America,New Jersey,New Brunswick,0,0,Colonial Air Transport,?,Fairchild FC-2,?,20,0,Went into a tailspin and crashed into a corn field about 10 km from the airport.,,4,3,1,4,3,1
1927,11,8,France,?,Strasburg,0,0,CIDNA,?,Farman F-121 Jabiru,F-AIBR,1,0,The mail plane crashed shortly after taking off.,"Strasbourg,Paris",1,0,1,1,0,1
